Method;Shortcut;Description
add();;Adds an element to the set
clear();;Removes all the elements from the set
copy();;Returns a copy of the set
difference(); - ;Returns a set containing the difference between two or more sets
differnce_update(); -= ;Removes the items in this set that are also included in another, specified set
discard();;Remove the specified item
intersection();&;Returns a set, that is the intersection of two other sets
intersection_update();&=;Removes the items In this set that are not present in other, specified set(s)
isdisjoint();;Returns True if nO items of this set is present in another set
issubset();<=;Returns True if all items of this set is present in another set
;<;Returns True if all items of another, larger set
issuperset();>= ;Returns True if all items of another set is present in this set
;>;Returns True if all items of another, smaller set is present in this set
pop();;Removes an element from the set
remove();;Removes the specified element
symmetric_difference();^;Retturns a set with the symmetric differences of two sets
symmetric_difference_update();^=;Inserts the symmetric differenced from this set and another
union();|;Returns a set containing the union of sets
update();|=;Update the set with the union of this set and others
